idx,idx_old,mz,mzmin,mzmax,rt,rtmin,rtmax,npeaks,samples,MPA,polarity
2122,122,113.13133,113.130951,113.132136,774.1718,772.5193,777.3641,92,92,184903.7565,pos
2123,123,114.065152,114.064781,114.065643,51.93715,50.2242,52.4672,100,100,8272926.609,pos
2124,124,114.090265,114.064778,114.090639,231.2367,206.664,262.5317,107,104,733806.4014,pos
2126,126,114.126737,114.103726,114.128151,292.157,289.2942,293.8095,91,91,66638.81127,pos
2129,129,114.986531,114.986206,114.986931,33.7429,11.9694,35.9728,79,79,500685.7391,pos
2131,131,115.074278,115.073919,115.080515,234.364,224.0176,241.1933,103,103,809574.5279,pos
2132,132,115.11065,115.108107,115.112194,444.1318,441.6503,446.1796,102,102,186333.8056,pos
2134,134,116.069557,116.069175,116.070224,53.02595,15.4572,53.5521,102,101,17328087.72,pos
2139,139,117.072139,117.053212,117.074127,52.4506,51.5396,130.4771,87,80,751291.6359,pos
2142,142,118.029185,118.028068,118.029703,61.8045,59.5297,64.8127,95,95,106843.1475,pos
2143,143,118.085195,118.084811,118.085753,61.6032,51.3903,65.3491,102,102,42712280.45,pos
2144,144,118.141062,118.140615,118.141594,61.55645,59.5297,63.9954,68,68,65939.55235,pos
2145,145,118.2319,118.229266,118.23412,63.0486,60.3186,65.3491,53,53,25872.18393,pos
2146,146,118.9416,118.940965,118.941824,134.8768,126.1444,138.1266,69,69,167240.2906,pos
2147,147,118.941612,118.941196,118.941895,18.3519,12.2861,30.0765,66,66,173261.5905,pos
2149,149,119.017778,119.017445,119.018162,161.69285,159.4004,167.1414,98,98,618230.3321,pos
2151,151,119.088438,119.063454,119.089045,62.1416,48.4721,65.3491,101,101,1775548.505,pos
2152,152,119.062865,119.062531,119.063679,18.9069,10.8352,25.1786,55,55,66661.51305,pos
2154,154,120.064376,120.063948,120.064843,53.3773,45.3244,54.5941,105,105,682109.7815,pos
2155,155,120.079689,120.079318,120.08024,184.181,183.3683,184.9004,99,99,12673577.94,pos
2156,156,120.941979,120.941112,120.942272,136.02525,127.7733,139.251,62,62,63981.40821,pos
2159,159,121.070913,121.070533,121.071517,57.23585,53.1222,85.6045,100,100,5946360.245,pos
2160,160,121.073754,121.070622,121.079678,182.4319,149.5173,221.0703,97,92,1591425.644,pos
2161,161,122.057052,122.056283,122.059947,185.5666,184.0133,188.8837,83,83,244966.1952,pos
2164,164,123.054206,123.042606,123.054972,17.8945,14.1666,22.6386,76,76,979990.9186,pos
2166,166,125.019866,125.017635,125.021314,45.4827,44.4575,46.5251,99,99,98126.70136,pos
2170,170,125.985298,125.984876,125.986005,21.0142,12.5674,29.8885,105,105,22038364.87,pos
2174,174,127.037929,127.037535,127.038669,18.10255,12.4226,25.1513,82,82,1507991.936,pos
2176,176,127.110546,127.110171,127.111422,340.7332,338.5494,352.7409,99,99,470645.1183,pos
2177,177,128.018203,128.017776,128.018924,34.5917,16.003,35.9628,104,104,838453.689,pos
2179,179,128.073822,128.071256,128.080079,331.8198,329.8899,333.1676,99,99,1103549.809,pos
2181,181,129.063976,129.053671,129.064862,50.9743,29.0401,52.6525,89,89,1314011.31,pos
2182,182,129.126083,129.123038,129.126675,522.7291,520.2079,523.664,96,96,176466.3347,pos
2183,183,129.125198,129.110546,129.126665,308.8651,305.0155,311.3803,93,93,105303.6533,pos
2185,185,129.982434,129.977622,130.009679,21.36725,16.4103,31.2426,98,98,246992.9728,pos
2187,187,130.085108,130.048718,130.085767,66.2043,55.7538,71.6677,99,99,2275535.709,pos
2191,191,131.927612,131.92558,131.929568,128.2999,126.3402,131.5436,79,79,66253.74351,pos
2193,193,132.034799,132.034202,132.035536,128.0822,126.3418,131.5436,98,98,254411.7334,pos
2195,195,132.075809,132.075232,132.077446,51.5691,50.8349,52.3676,99,99,2619417.697,pos
