idx,idx_old,mz,mzmin,mzmax,rt,rtmin,rtmax,npeaks,samples,MPA,polarity,tp1_food_YESvsNO,id,P_1,p<0.05,"p,0.01",sign_1
4460,2460,492.293933,492.292366,492.298645,757.8053,757.1559,758.5897,99,99,1065724.51,pos,TRUE,4460,0.782308,0,0,1
4461,2461,492.757594,492.75026,492.763592,373.5813,372.6563,374.9029,99,99,583255.1166,pos,TRUE,4461,0.925771,0,0,1
4462,2462,492.795654,492.794101,492.804238,757.7881,757.162,758.6187,99,99,574074.5909,pos,TRUE,4462,0.947576,0,0,1
4463,2463,493.200506,493.198704,493.202399,281.0772,280.3122,282.4256,94,94,84967.73312,pos,TRUE,4463,0.562167,0,0,-1
4464,2464,493.254071,493.22411,493.263774,373.7767,370.826,411.7178,137,99,156461.5072,pos,TRUE,4464,0.102242,0,0,1
4465,2465,493.296996,493.294627,493.321763,757.2553,755.691,786.0879,98,97,152752.1564,pos,TRUE,4465,0.924671,0,0,-1
4466,2466,493.911966,493.909446,493.917976,397.2914,395.4424,399.2242,80,80,116915.2197,pos,TRUE,4466,0.749734,0,0,1
4467,2467,494.270713,494.258996,494.28454,384.4079,382.5023,400.6141,98,98,398502.2137,pos,TRUE,4467,0.438964,0,0,1
4468,2468,494.285531,494.283989,494.287121,703.02515,702.3169,703.7756,74,74,101670.2797,pos,FALSE,NA,NA,NA,NA,NA
4469,2469,494.319869,494.318608,494.321418,664.3776,663.6181,665.7477,99,99,3771969.816,pos,TRUE,4469,0.055707,0,0,1
4470,2470,494.309461,494.307582,494.341956,760.1716,759.48,760.7557,98,98,1157386.092,pos,TRUE,4470,0.406091,0,0,1
4471,2471,494.767213,494.765316,494.768856,383.0454,381.917,384.2013,81,81,94126.13308,pos,TRUE,4471,0.807521,0,0,1
4472,2472,494.811206,494.809415,494.831378,760.014,759.5267,760.668,99,99,595112.9606,pos,TRUE,4472,0.71141,0,0,1
4473,2473,495.237196,495.235501,495.238442,300.1043,299.1923,300.725,100,100,548034.5197,pos,TRUE,4473,0.453716,0,0,1
