idx,idx_old,mz,mzmin,mzmax,rt,rtmin,rtmax,npeaks,samples,MPA,polarity
712,712,329.231247,329.229932,329.23224,471.33175,469.4929,473.6899,80,80,108507.0839,neg
713,713,330.751441,330.750159,330.752378,59.2396,58.0773,60.1803,101,101,433382.2025,neg
715,715,330.947745,330.946538,330.948762,59.5641,58.7253,60.739,101,101,424926.3433,neg
716,716,331.089163,331.08705,331.089994,291.30375,290.4467,291.9448,88,88,162215.368,neg
717,717,332.748461,332.747067,332.75014,58.04725,56.202,60.0664,90,90,67062.7756,neg
718,718,332.943872,332.920302,332.945358,59.71575,47.8972,60.6945,104,104,451243.7062,neg
719,719,332.941845,332.940372,332.943326,91.9133,90.2132,93.0993,84,84,201404.1023,neg
720,720,333.015892,333.014725,333.017175,295.3888,292.9095,297.4167,101,101,571212.9448,neg
721,721,333.038618,333.037262,333.040442,266.90415,264.0782,269.521,72,72,88766.83411,neg
722,722,333.133021,333.131979,333.13412,604.9621,569.1473,632.8975,93,93,106014.2437,neg
723,723,333.202957,333.201461,333.204997,590.1899,588.4944,591.6203,100,100,176052.0043,neg
724,724,333.218115,333.216873,333.218924,625.7008,624.0019,626.9797,100,100,186410.6945,neg
725,725,334.057968,334.056885,334.058759,270.4273,267.2748,272.2178,101,101,664483.3376,neg
726,726,334.789025,334.787737,334.790031,55.4463,54.625,56.4489,101,101,403938.3353,neg
729,729,334.880201,334.87858,334.886506,439.8331,437.5247,441.0964,69,69,164545.5738,neg
730,730,334.940077,334.938378,334.941391,60.9818,59.0168,62.4029,101,101,185166.1539,neg
731,731,334.938765,334.937285,334.93992,91.7535,89.934,92.9052,69,69,134521.9853,neg
732,732,335.04731,335.045934,335.048201,79.0959,78.4697,79.6756,101,101,1641280.541,neg
733,733,335.109062,335.107874,335.109999,521.2854,520.6951,521.8073,101,101,513591.121,neg
734,734,335.22043,335.219374,335.221458,536.61075,533.8636,539.9365,74,74,238822.9919,neg
736,736,335.888248,335.887801,335.88976,244.5839,224.4053,282.6231,70,69,1279643.303,neg
737,737,336.050662,336.048931,336.063974,79.201,77.9105,82.5817,94,94,122291.3993,neg
738,738,336.786121,336.784784,336.78714,55.4331,54.3259,56.4489,101,101,687052.5294,neg
740,740,336.879262,336.873457,336.884215,439.90135,437.9809,441.5971,90,90,74314.26593,neg
741,741,336.965802,336.95884,336.969293,57.9021,55.8854,59.7035,82,82,47630.32975,neg
742,742,337.140021,337.138844,337.141216,465.375,453.1371,475.1975,99,99,214143.7373,neg
743,743,338.069674,338.068653,338.070591,265.7034,263.6874,267.5411,101,101,877516.1326,neg
744,744,338.783026,338.781756,338.784101,55.4816,54.6555,56.3649,101,101,425478.5705,neg
746,746,338.876321,338.871043,338.879601,439.7125,437.9809,441.2835,71,71,60153.01262,neg
747,747,338.965075,338.96313,338.967523,57.6181,55.4463,59.479,75,75,44642.40105,neg
748,748,339.05654,339.054915,339.060192,268.09845,264.7791,269.5271,92,92,258182.5644,neg
749,749,339.050399,339.047431,339.052126,303.44855,297.8332,309.7556,82,82,315414.4487,neg
750,750,339.076127,339.074899,339.077364,105.2234,100.9554,107.5433,89,89,106325.8778,neg
751,751,339.163835,339.162777,339.164699,295.7781,295.1097,296.5689,101,101,335339.4159,neg
752,752,339.197388,339.196993,339.198552,731.8641,698.7625,767.5173,61,61,13962685.94,neg
753,753,339.229578,339.22166,339.231433,660.41225,656.5732,661.8458,70,70,143469.7818,neg
754,754,339.252221,339.250533,339.257288,710.12735,708.6008,711.9735,100,100,178473.9242,neg
755,755,339.251677,339.250705,339.289439,626.7758,625.0279,653.7897,70,70,108653.0158,neg
756,756,340.20051,340.200132,340.201699,732.2327,699.8393,767.5173,61,61,2100484.071,neg
757,757,340.780148,340.7786,340.781408,54.699,53.4054,56.5998,101,101,104934.5211,neg
758,758,340.894521,340.893314,340.895662,78.3069,77.5924,79.2478,101,101,292376.1658,neg
759,759,340.976537,340.97528,340.977819,57.4157,56.1949,58.7366,101,101,173275.6927,neg
